date,price
2021-02-17,322.76
2021-02-16,324.62
2021-02-12,328.24
2021-02-11,333.07
2021-02-10,333.0
2021-02-09,330.02
2021-02-08,324.0
2021-02-06,324.2
2021-02-05,324.19
2021-02-04,330.5
2021-02-03,337.89
2021-02-02,341.045
2021-02-01,332.79
2021-01-29,333.5
2021-01-28,338.8
2021-01-27,332.99
2021-01-26,342.29
2021-01-25,347.11
2021-01-22,348.75
2021-01-21,355.3
2021-01-20,352.0
2021-01-19,353.5
2021-01-15,352.5
2021-01-14,351.3
2021-01-13,355.6055
2021-01-12,357.3698
2021-01-11,360.8041
2021-01-08,363.5
2021-01-07,365.0
2021-01-06,360.0
2021-01-05,344.8
2021-01-04,349.3
2021-01-01,351.6
2020-12-31,350.75
2020-12-30,344.99
2020-12-29,347.35
2020-12-28,346.6
2020-12-24,340.79
2020-12-23,337.5562
2020-12-22,335.01
2020-12-21,335.3
2020-12-19,338.38
2020-12-18,338.38
2020-12-17,341.6358
2020-12-16,339.785
2020-12-15,339.67
2020-12-14,336.91
2020-12-12,334.5
2020-12-11,335.7369
2020-12-10,339.84
2020-12-09,344.4101
2020-12-08,347.86
2020-12-07,346.94
2020-12-04,348.55
2020-12-03,348.7
2020-12-02,348.26
2020-12-01,341.1559
2020-11-30,336.382042
2020-11-27,337.94
2020-11-25,333.2233
2020-11-24,336.68
2020-11-23,336.24
2020-11-21,334.01
2020-11-20,335.74
2020-11-19,335.0
2020-11-18,344.2
2020-11-17,352.1352
2020-11-16,356.4
2020-11-13,355.67
2020-11-12,354.41
2020-11-11,351.7
2020-11-10,355.0
2020-11-09,351.37
2020-11-06,347.9
2020-11-05,354.4
2020-11-04,353.0
2020-11-03,324.94
2020-11-02,313.0
2020-10-30,305.1401
2020-10-29,300.3
2020-10-28,308.0308
2020-10-27,318.5
2020-10-26,322.98
2020-10-23,330.5669
2020-10-22,325.73
2020-10-21,322.13
2020-10-20,322.45
2020-10-19,325.29
2020-10-16,328.71
2020-10-15,324.25
2020-10-14,322.0
2020-10-13,333.0
2020-10-12,329.97
2020-10-09,329.5
2020-10-08,322.4422
2020-10-07,322.51
2020-10-06,314.4814
2020-10-05,318.1182
2020-10-02,311.56
2020-10-01,313.07
2020-09-30,311.55
2020-09-29,305.05
2020-09-28,303.23
2020-09-25,302.25
2020-09-24,293.99
2020-09-23,292.84
2020-09-22,293.24
2020-09-21,299.0
2020-09-18,308.0
2020-09-17,306.54
2020-09-16,307.13
2020-09-15,307.99
2020-09-14,308.57
2020-09-11,301.15
2020-09-10,306.79
2020-09-09,311.64
2020-09-08,307.25
2020-09-04,312.0
2020-09-03,316.23
2020-09-02,320.14
2020-09-01,312.83
2020-08-31,313.4
2020-08-28,314.37
2020-08-27,311.9
2020-08-26,308.82
2020-08-25,312.3
2020-08-24,308.2
2020-08-21,314.14
2020-08-20,313.11
2020-08-19,315.41
2020-08-18,316.85
2020-08-17,321.89
2020-08-14,323.1
2020-08-13,322.0
2020-08-12,321.31
2020-08-11,315.56
2020-08-10,319.1
2020-08-07,317.05
2020-08-06,315.55
2020-08-05,314.89
2020-08-04,304.49
2020-08-03,303.01
2020-07-31,302.78
2020-07-30,305.23
2020-07-29,306.68
2020-07-28,299.93
2020-07-27,298.0
2020-07-24,300.79
2020-07-23,303.0
2020-07-22,306.71
2020-07-21,306.99
2020-07-20,303.51
2020-07-17,307.2
2020-07-16,307.15
2020-07-15,303.67
2020-07-14,310.4
2020-07-13,301.14
2020-07-10,291.23
2020-07-09,292.5
2020-07-08,298.41
2020-07-07,297.0
2020-07-06,303.19
2020-07-02,298.31
2020-07-01,297.7
2020-06-30,294.52
2020-06-29,291.0
2020-06-26,286.88
2020-06-25,297.48
2020-06-24,290.0
2020-06-23,297.6
2020-06-22,293.96
2020-06-19,290.99
2020-06-18,291.48
2020-06-17,291.75
2020-06-16,294.0
2020-06-15,287.96
2020-06-12,284.01
2020-06-11,283.74
2020-06-10,303.28
2020-06-09,310.4
2020-06-08,309.0
2020-06-05,312.03
2020-06-04,298.4
2020-06-03,306.0
2020-06-02,308.85
2020-06-01,304.36
2020-05-29,306.5
2020-05-28,303.0
2020-05-27,304.45
2020-05-26,296.0
2020-05-22,290.0
2020-05-21,287.5
2020-05-20,288.42
2020-05-19,288.51
2020-05-18,292.01
2020-05-15,291.12
2020-05-14,290.61
2020-05-13,278.2
2020-05-12,283.29
2020-05-11,288.69
2020-05-08,288.49
2020-05-07,284.99
2020-05-06,288.77
2020-05-05,293.04
2020-05-04,287.54
2020-05-01,284.51
2020-04-30,289.74
2020-04-29,284.23
2020-04-28,288.36
2020-04-27,293.4
2020-04-24,291.01
2020-04-23,285.0
2020-04-22,277.0
2020-04-21,275.5
2020-04-20,283.0
2020-04-17,290.56
2020-04-16,304.5
2020-04-15,280.0
2020-04-14,270.96
2020-04-13,264.98
2020-04-09,264.43
2020-04-08,268.66
2020-04-07,247.65
2020-04-06,247.47
2020-04-03,229.0
2020-04-02,241.0
2020-04-01,238.11
2020-03-31,243.94
2020-03-30,251.28
2020-03-27,240.0
2020-03-26,254.99
2020-03-25,234.51
2020-03-24,220.0
2020-03-23,198.99
2020-03-20,209.75
2020-03-19,219.64
2020-03-18,223.99
2020-03-17,236.08
2020-03-16,233.4
2020-03-13,265.61
2020-03-12,248.0
2020-03-11,279.0
2020-03-10,276.07
2020-03-09,280.94
2020-03-07,282.5
2020-03-06,282.55
2020-03-05,282.85
2020-03-04,288.0
2020-03-03,261.1
2020-03-02,271.5
2020-02-28,256.45
2020-02-27,252.67
2020-02-26,263.0
2020-02-25,264.75
2020-02-24,277.82
2020-02-21,301.43
2020-02-20,302.0
2020-02-19,305.0
2020-02-18,302.14
2020-02-14,298.79
2020-02-13,301.6
2020-02-12,303.01
2020-02-11,290.79
2020-02-10,287.6
2020-02-07,289.22
2020-02-06,292.3
2020-02-05,295.7
2020-02-04,281.9
2020-02-03,274.02
2020-01-31,272.45
2020-01-30,280.93
2020-01-29,282.51
2020-01-28,285.8
2020-01-27,284.0
2020-01-25,292.35
2020-01-24,292.36
2020-01-23,299.21
2020-01-22,301.19
2020-01-21,300.53
2020-01-17,298.47
2020-01-16,300.75
2020-01-15,297.28
2020-01-14,288.24
2020-01-13,286.51
2020-01-10,295.15
2020-01-09,294.22
2020-01-08,295.9
2020-01-07,285.28
2020-01-06,291.55
2020-01-03,289.55
2020-01-02,292.05
2019-12-31,294.57
2019-12-30,293.16
2019-12-27,295.95
2019-12-26,296.0
2019-12-24,294.54
2019-12-23,295.09
2019-12-20,292.75
2019-12-19,294.62
2019-12-18,292.9
2019-12-17,291.97
2019-12-16,292.03
2019-12-13,285.55
2019-12-12,284.0
2019-12-11,280.5
2019-12-10,279.52
2019-12-09,277.42
2019-12-06,279.6
2019-12-05,282.0
2019-12-04,279.26
2019-12-03,276.9
2019-12-02,280.34
2019-11-29,279.87
2019-11-27,280.37
2019-11-26,281.4
2019-11-25,283.0
2019-11-22,276.84
2019-11-21,276.55
2019-11-20,275.56
2019-11-19,274.23
2019-11-18,272.93
2019-11-16,269.43
2019-11-15,268.76
2019-11-14,255.83
2019-11-13,253.57
2019-11-12,255.25
2019-11-11,254.09
2019-11-08,256.97
2019-11-07,257.48
2019-11-06,250.6
2019-11-05,250.3
2019-11-04,251.7499
2019-11-01,252.51
2019-10-31,252.42
2019-10-30,255.34
2019-10-29,252.25
2019-10-28,247.05
2019-10-25,245.4799
2019-10-24,244.48
2019-10-23,248.4999
2019-10-22,249.48
2019-10-21,243.92
2019-10-18,245.4
2019-10-17,243.67
2019-10-16,238.45
2019-10-15,238.59
2019-10-14,220.7
2019-10-11,222.28
2019-10-10,223.73
2019-10-09,220.2
2019-10-08,220.0
2019-10-07,221.0
2019-10-04,219.45
2019-10-03,215.3
2019-10-02,216.65
2019-10-01,216.9
2019-09-30,217.4
2019-09-27,215.8799
2019-09-26,216.0
2019-09-25,222.17
2019-09-24,225.4899
2019-09-23,228.77
2019-09-20,232.89
2019-09-19,232.85
2019-09-18,230.62
2019-09-17,232.3368
2019-09-16,234.43
2019-09-13,233.59
2019-09-12,230.5
2019-09-11,235.0
2019-09-10,232.55
2019-09-09,230.22
2019-09-06,229.0
2019-09-05,229.6
2019-09-04,227.27
2019-09-03,231.0
2019-08-30,234.0
2019-08-29,230.1
2019-08-28,226.88
2019-08-27,223.0
2019-08-26,231.54
2019-08-23,230.67
2019-08-22,233.0
2019-08-21,240.35
2019-08-20,240.0
2019-08-19,244.7
2019-08-16,245.06
2019-08-15,244.25
2019-08-14,243.19
2019-08-13,249.22
2019-08-12,243.2
2019-08-09,248.63
2019-08-08,247.49
2019-08-07,246.5
2019-08-06,248.65
2019-08-05,240.26
2019-08-02,250.0
2019-08-01,248.0
