date,price
2021-02-18,68.14
2021-02-17,68.12
2021-02-16,67.1
2021-02-13,64.39
2021-02-12,64.74
2021-02-11,64.3
2021-02-10,65.11
2021-02-09,64.84
2021-02-08,65.0
2021-02-06,61.75
2021-02-05,61.73
2021-02-04,61.27
2021-02-03,60.71
2021-02-02,57.77
2021-02-01,56.24
2021-01-30,56.75
2021-01-29,56.75
2021-01-28,58.3
2021-01-27,58.51
2021-01-26,58.15
2021-01-25,59.2
2021-01-23,59.44
2021-01-22,59.4
2021-01-21,58.57
2021-01-20,60.57
2021-01-19,60.7599
2021-01-16,58.34
2021-01-15,58.32
2021-01-14,60.28
2021-01-13,57.7
2021-01-12,59.51
2021-01-11,58.75
2021-01-09,57.71
2021-01-08,57.71
2021-01-07,59.95
2021-01-06,58.6
2021-01-05,57.4
2021-01-04,55.6001
2020-12-31,57.1
2020-12-30,56.72
2020-12-29,55.65
2020-12-28,55.09
2020-12-24,55.68
2020-12-23,55.79
2020-12-22,53.6
2020-12-21,53.8
2020-12-19,54.77
2020-12-18,54.77
2020-12-17,56.4
2020-12-16,56.7
2020-12-15,57.48
2020-12-14,56.5
2020-12-12,59.03
2020-12-11,58.75
2020-12-10,60.07
2020-12-09,58.8
2020-12-08,58.8
2020-12-07,59.3301
2020-12-05,61.25
2020-12-04,61.1999
2020-12-03,57.91
2020-12-02,58.05
2020-12-01,54.39
2020-11-30,54.0
2020-11-27,56.62
2020-11-25,56.2
2020-11-24,58.8
2020-11-23,56.3
2020-11-20,50.81
2020-11-19,50.8
2020-11-18,51.25
2020-11-17,54.1
2020-11-16,55.68
2020-11-14,50.99
2020-11-13,50.85
2020-11-12,47.35
2020-11-11,50.0
2020-11-10,50.01
2020-11-09,50.3
2020-11-07,38.58
2020-11-06,38.35
2020-11-05,39.4
2020-11-04,38.75
2020-11-03,39.52
2020-11-02,40.0
2020-10-30,38.54
2020-10-29,37.4
2020-10-28,36.36
2020-10-27,38.2
2020-10-26,39.55
2020-10-23,41.97
2020-10-22,41.34
2020-10-21,40.5
2020-10-20,40.96
2020-10-19,39.5
2020-10-16,40.22
2020-10-15,41.7
2020-10-14,41.71
2020-10-13,41.43
2020-10-12,43.11
2020-10-09,43.55
2020-10-08,44.38
2020-10-07,42.35
2020-10-06,42.33
2020-10-05,43.08
2020-10-02,40.69
2020-10-01,40.28
2020-09-30,43.32
2020-09-29,43.73
2020-09-28,44.83
2020-09-25,44.03
2020-09-24,45.23
2020-09-23,44.6
2020-09-22,47.3
2020-09-21,47.6
2020-09-18,48.67
2020-09-17,49.25
2020-09-16,49.45
2020-09-15,46.69
2020-09-14,47.51
2020-09-11,46.59
2020-09-10,46.0
2020-09-09,47.75
2020-09-08,48.71
2020-09-04,51.55
2020-09-03,52.34
2020-09-02,53.04
2020-09-01,52.4801
2020-08-31,52.75
2020-08-28,54.66
2020-08-27,53.48
2020-08-26,54.0
2020-08-25,54.6
2020-08-24,54.9
2020-08-21,52.6
2020-08-20,53.19
2020-08-19,54.25
2020-08-18,54.74
2020-08-17,55.5
2020-08-14,54.46
2020-08-13,53.06
2020-08-12,55.15
2020-08-11,53.7
2020-08-10,53.35
2020-08-07,52.5101
2020-08-06,51.55
2020-08-05,51.76
2020-08-04,53.3
2020-08-03,53.91
2020-07-31,56.3
2020-07-30,56.6
2020-07-29,59.97
2020-07-28,56.9
2020-07-27,58.2
2020-07-24,57.8999
2020-07-23,57.7
2020-07-22,56.98
2020-07-21,57.58
2020-07-20,54.55
2020-07-17,55.65
2020-07-16,56.5
2020-07-15,57.5
2020-07-14,55.06
2020-07-13,53.23
2020-07-10,53.65
2020-07-09,50.27
2020-07-08,53.3
2020-07-07,53.26
2020-07-06,56.47
2020-07-02,56.63
2020-07-01,56.77
2020-06-30,58.8
2020-06-29,57.26
2020-06-26,56.5
2020-06-25,57.45
2020-06-24,58.03
2020-06-23,62.65
2020-06-22,62.85
2020-06-19,63.6
2020-06-18,64.83
2020-06-17,62.15
2020-06-16,65.72
2020-06-15,64.32
2020-06-12,63.82
2020-06-11,61.35
2020-06-10,68.5
2020-06-09,71.27
2020-06-08,75.62
2020-06-05,74.24
2020-06-04,70.0
2020-06-03,70.54
2020-06-02,67.8
2020-06-01,66.25
2020-05-29,67.18
2020-05-28,67.7
2020-05-27,70.18
2020-05-26,68.7
2020-05-22,65.74
2020-05-21,65.99
2020-05-20,67.5
2020-05-19,64.2
2020-05-18,64.5
2020-05-15,59.0
2020-05-14,59.4201
2020-05-13,59.7
2020-05-12,63.03
2020-05-11,65.58
2020-05-08,66.2
2020-05-07,61.69
2020-05-06,60.91
2020-05-05,63.95
2020-05-04,63.66
2020-05-01,59.2
2020-04-30,62.3
2020-04-29,67.65
2020-04-28,58.25
2020-04-27,55.62
2020-04-24,52.65
2020-04-23,51.7
2020-04-22,50.8
2020-04-21,49.45
2020-04-20,51.0
2020-04-17,51.8
2020-04-16,48.05
2020-04-15,46.45
2020-04-14,51.0
2020-04-13,49.89
2020-04-09,51.1001
2020-04-08,53.0
2020-04-07,48.01
2020-04-06,46.5
2020-04-03,40.0
2020-04-02,41.67
2020-04-01,41.26
2020-03-31,44.6
2020-03-30,47.3
2020-03-27,45.0
2020-03-26,45.63
2020-03-25,39.95
2020-03-24,34.99
2020-03-23,33.76
2020-03-20,38.06
