date,price
2021-02-18,57.12
2021-02-17,57.13
2021-02-16,55.74
2021-02-13,54.25
2021-02-12,54.22
2021-02-11,54.61
2021-02-10,55.01
2021-02-09,55.06
2021-02-08,55.05
2021-02-06,55.45
2021-02-05,55.4
2021-02-04,55.18
2021-02-03,54.97
2021-02-02,54.6
2021-02-01,54.46
2021-01-30,54.8
2021-01-29,54.8
2021-01-28,55.34
2021-01-27,54.82
2021-01-26,56.56
2021-01-25,58.31
2021-01-23,57.6
2021-01-22,57.6
2021-01-21,57.38
2021-01-20,57.26
2021-01-19,57.09
2021-01-16,57.2
2021-01-15,57.3
2021-01-14,57.2
2021-01-13,57.11
2021-01-12,57.26
2021-01-11,57.45
2021-01-09,57.81
2021-01-08,57.8
2021-01-07,58.53
2021-01-06,59.34
2021-01-05,58.75
2021-01-04,58.85
2021-01-01,58.71
2020-12-31,58.71
2020-12-30,58.14
2020-12-29,58.82
2020-12-28,59.01
2020-12-24,58.8899
2020-12-23,59.06
2020-12-22,59.0
2020-12-21,59.49
2020-12-19,60.42
2020-12-18,60.57
2020-12-17,60.0
2020-12-16,59.92
2020-12-15,60.52
2020-12-14,60.03
2020-12-12,60.34
2020-12-11,60.35
2020-12-10,60.51
2020-12-09,61.45
2020-12-08,61.45
2020-12-07,61.42
2020-12-05,61.54
2020-12-04,61.45
2020-12-03,61.77
2020-12-02,61.38
2020-12-01,60.52
2020-11-30,60.52
2020-11-27,60.55
2020-11-25,60.4
2020-11-24,60.6701
2020-11-23,60.38
2020-11-21,59.92
2020-11-20,60.0
2020-11-19,59.89
2020-11-18,60.3
2020-11-17,60.75
2020-11-16,60.89
2020-11-14,61.06
2020-11-13,61.15
2020-11-12,60.51
2020-11-11,60.78
2020-11-10,61.11
2020-11-09,59.83
2020-11-07,58.66
2020-11-06,58.55
2020-11-05,58.0
2020-11-04,57.3
2020-11-03,57.92
2020-11-02,57.6942
2020-10-30,56.9
2020-10-29,56.63
2020-10-28,56.42
2020-10-27,57.14
2020-10-26,57.9
2020-10-23,57.96
2020-10-22,57.35
2020-10-21,56.56
2020-10-20,57.6
2020-10-19,57.35
2020-10-16,58.01
2020-10-15,58.33
2020-10-14,58.43
2020-10-13,59.5
2020-10-12,59.58
2020-10-09,59.33
2020-10-08,59.3
2020-10-07,59.75
2020-10-06,59.37
2020-10-05,59.6
2020-10-02,59.16
2020-10-01,59.37
2020-09-30,59.55
2020-09-29,59.34
2020-09-28,59.47
2020-09-25,59.3
2020-09-24,59.39
2020-09-23,58.91
2020-09-22,59.67
2020-09-21,59.67
2020-09-18,60.36
2020-09-17,60.4
2020-09-16,60.48
2020-09-15,60.6
2020-09-14,60.3
2020-09-11,59.8
2020-09-10,59.6
2020-09-09,60.2499
2020-09-08,59.75
2020-09-04,60.55
2020-09-03,60.18
2020-09-02,60.53
2020-09-01,59.08
2020-08-31,59.12
