date,price
2021-02-17,207.5
2021-02-16,207.85
2021-02-13,210.02
2021-02-12,209.99
2021-02-11,210.6
2021-02-10,206.4
2021-02-09,206.53
2021-02-08,206.76
2021-02-06,209.81
2021-02-05,209.44
2021-02-04,209.22
2021-02-03,201.94
2021-02-02,203.15
2021-02-01,198.36
2021-01-30,194.0
2021-01-29,193.3
2021-01-28,200.58
2021-01-27,194.42
2021-01-26,201.51
2021-01-25,200.73
2021-01-23,202.7
2021-01-22,202.4
2021-01-21,205.03
2021-01-20,206.4
2021-01-19,202.15
2021-01-16,201.4
2021-01-15,201.5
2021-01-14,203.01
2021-01-13,209.65
2021-01-12,208.49
2021-01-11,212.89
2021-01-09,215.45
2021-01-08,215.51
2021-01-07,213.99
2021-01-06,213.35
2021-01-05,214.5
2021-01-04,217.66
2021-01-01,218.8
2020-12-31,218.73
2020-12-30,218.5
2020-12-29,214.36
2020-12-28,213.48
2020-12-24,208.7
2020-12-23,205.52
2020-12-22,206.0
2020-12-21,208.75
2020-12-19,211.78
2020-12-18,211.99
2020-12-17,210.93
2020-12-16,208.32
2020-12-15,208.36
2020-12-14,207.43
2020-12-12,206.45
2020-12-11,205.1491
2020-12-10,208.5
2020-12-09,209.59
2020-12-08,212.9
2020-12-07,212.65
2020-12-05,212.6
2020-12-04,212.3
2020-12-03,208.92
2020-12-02,210.33
2020-12-01,211.0
2020-11-30,211.11
2020-11-27,211.0
2020-11-25,210.72
2020-11-24,210.5
2020-11-23,209.5
2020-11-21,203.99
2020-11-20,204.0
2020-11-19,205.8
2020-11-18,208.0
2020-11-17,211.15
2020-11-16,212.85
2020-11-14,210.48
2020-11-13,210.8
2020-11-12,208.27
2020-11-11,212.95
2020-11-10,213.6
2020-11-09,212.68
2020-11-07,198.57
2020-11-06,198.53
2020-11-05,197.4
2020-11-04,193.43
2020-11-03,190.0
2020-11-02,185.11
2020-10-30,182.0
2020-10-29,183.9
2020-10-28,181.95
2020-10-27,189.8
2020-10-26,193.25
2020-10-23,197.85
2020-10-22,198.11
2020-10-21,198.0
2020-10-20,198.23
2020-10-19,198.13
2020-10-16,200.0
2020-10-15,200.08
2020-10-14,202.5
2020-10-13,204.69
2020-10-12,205.0
2020-10-09,207.0
2020-10-08,203.52
2020-10-07,202.75
2020-10-06,200.45
2020-10-05,203.3
2020-10-02,200.74
2020-10-01,203.25
2020-09-30,200.4
2020-09-29,199.84
2020-09-28,201.28
2020-09-25,197.01
2020-09-24,196.0
2020-09-23,194.85
2020-09-22,200.25
2020-09-21,198.03
2020-09-18,202.9
2020-09-17,205.15
2020-09-16,205.3
2020-09-15,205.45
2020-09-14,205.0
2020-09-11,200.45
2020-09-10,202.06
2020-09-09,204.85
2020-09-08,198.63
2020-09-04,205.4
2020-09-03,205.0
2020-09-02,216.75
2020-09-01,213.34
2020-08-31,212.25
2020-08-28,215.88
2020-08-27,211.66
2020-08-26,210.58
2020-08-25,208.14
2020-08-24,206.45
2020-08-21,204.02
2020-08-20,204.39
2020-08-19,200.5
2020-08-18,199.2
2020-08-17,199.45
2020-08-14,196.77
2020-08-13,198.0
2020-08-12,198.3
2020-08-11,198.15
2020-08-10,196.6499
2020-08-07,196.36
2020-08-06,198.64
2020-08-05,195.75
2020-08-04,192.42
2020-08-03,190.88
2020-07-31,190.4
2020-07-30,194.95
2020-07-29,198.5
2020-07-28,193.5
2020-07-27,197.55
2020-07-24,195.06
2020-07-23,197.43
2020-07-22,198.7
2020-07-21,196.72
2020-07-20,198.5
2020-07-17,195.2
2020-07-16,193.44
2020-07-15,196.0
2020-07-14,194.0
2020-07-13,189.7
2020-07-10,192.7
2020-07-09,192.6
2020-07-08,195.41
2020-07-07,194.5
2020-07-06,198.0
2020-07-02,196.21
2020-07-01,193.78
2020-06-30,193.14
2020-06-29,192.4
2020-06-26,188.8
2020-06-25,194.0
2020-06-24,191.75
2020-06-23,197.9
2020-06-22,196.3
2020-06-19,191.25
2020-06-18,194.72
2020-06-17,193.01
2020-06-16,193.95
2020-06-15,193.5
2020-06-12,191.6
2020-06-11,191.3999
2020-06-10,199.0
2020-06-09,199.72
2020-06-08,199.66
2020-06-05,199.7
2020-06-04,193.6
2020-06-03,196.53
2020-06-02,196.99
2020-06-01,193.37
2020-05-29,196.48
2020-05-28,194.0
2020-05-27,193.66
2020-05-26,193.55
2020-05-22,190.86
2020-05-21,191.4999
2020-05-20,194.1
2020-05-19,190.5
2020-05-18,191.38
2020-05-15,183.33
2020-05-14,181.0
2020-05-13,178.01
2020-05-12,177.0
2020-05-11,183.64
2020-05-08,185.4
2020-05-07,183.47
2020-05-06,177.9
2020-05-05,178.95
2020-05-04,176.0
2020-05-01,175.36
2020-04-30,177.4
2020-04-29,184.99
2020-04-28,171.99
2020-04-27,171.99
2020-04-24,167.25
2020-04-23,165.4
2020-04-22,166.29
2020-04-21,162.0
2020-04-20,165.0
2020-04-17,169.49
2020-04-16,168.5
2020-04-15,165.17
2020-04-14,174.25
2020-04-13,170.24
2020-04-09,174.5
2020-04-08,175.5
2020-04-07,169.5
2020-04-06,169.98
2020-04-03,152.1
2020-04-02,156.25
2020-04-01,154.5
2020-03-31,159.5
2020-03-30,165.51
2020-03-27,160.39
2020-03-26,169.4
2020-03-25,162.0
2020-03-24,153.4
2020-03-23,139.93
2020-03-20,145.05
2020-03-19,150.15
2020-03-18,153.0
2020-03-17,152.37
2020-03-16,156.75
2020-03-13,173.15
2020-03-12,155.5
2020-03-11,173.0
2020-03-10,178.5
2020-03-09,176.5
2020-03-07,183.27
2020-03-06,183.27
2020-03-05,187.43
2020-03-04,193.4
2020-03-03,185.57
2020-03-02,190.0
2020-02-29,184.5
2020-02-28,184.0
2020-02-27,180.0
2020-02-26,187.18
2020-02-25,189.8399
2020-02-24,194.99
2020-02-22,208.48
2020-02-21,208.05
2020-02-20,211.0
2020-02-19,213.79
2020-02-18,211.5
2020-02-15,210.36
2020-02-14,210.4
2020-02-13,207.4
2020-02-12,207.25
2020-02-11,204.0
2020-02-10,205.8301
2020-02-08,202.73
2020-02-07,202.75
2020-02-06,203.09
2020-02-05,202.88
2020-02-04,203.56
2020-02-03,200.08
2020-02-01,198.82
2020-01-31,198.97
2020-01-30,202.0
2020-01-29,205.0
2020-01-28,202.9
2020-01-27,201.71
2020-01-25,204.6
2020-01-24,204.6
2020-01-23,206.63
2020-01-22,207.58
2020-01-21,207.55
2020-01-18,204.36
2020-01-17,204.59
2020-01-16,201.0
2020-01-15,200.2999
2020-01-14,196.0
2020-01-13,195.7
2020-01-11,193.54
2020-01-10,193.36
2020-01-09,193.15
2020-01-08,192.3
2020-01-07,186.4
2020-01-06,189.08
2020-01-04,189.4
2020-01-03,189.7
2020-01-02,191.12
2019-12-31,187.9
2019-12-30,187.83
2019-12-27,189.22
2019-12-26,189.19
2019-12-24,187.57
2019-12-23,187.08
2019-12-20,187.7
2019-12-19,186.54
2019-12-18,184.9
2019-12-17,185.52
2019-12-16,186.19
2019-12-14,185.35
2019-12-13,185.35
2019-12-12,183.04
2019-12-11,182.02
2019-12-10,182.26
2019-12-09,182.6
2019-12-07,182.0
2019-12-06,181.95
2019-12-05,181.89
2019-12-04,180.6
2019-12-03,182.1
2019-12-02,181.01
2019-11-29,184.51
2019-11-28,183.72
2019-11-27,184.42
2019-11-26,182.85
2019-11-25,180.81
2019-11-23,179.66
2019-11-22,179.61
2019-11-21,179.9
2019-11-20,181.3
2019-11-19,182.69
2019-11-18,179.7
2019-11-16,179.61
2019-11-15,179.61
2019-11-14,179.3
2019-11-13,179.4
2019-11-12,179.52
2019-11-11,179.54
2019-11-08,178.77
2019-11-07,178.5
2019-11-06,176.65
2019-11-05,176.37
2019-11-04,179.9
2019-11-01,180.65
2019-10-31,178.86
2019-10-30,179.3
2019-10-29,177.73
2019-10-28,179.75
2019-10-25,177.77
2019-10-24,176.8
2019-10-23,172.87
2019-10-22,170.84
2019-10-21,176.54
2019-10-18,175.9
2019-10-17,177.99
2019-10-16,177.6
2019-10-15,178.64
2019-10-14,177.59
2019-10-11,177.1194
2019-10-10,175.7
2019-10-09,173.05
2019-10-08,172.01
2019-10-07,174.91
2019-10-04,175.98
2019-10-03,172.8
2019-10-02,170.3
2019-10-01,174.55
2019-09-30,172.91
2019-09-27,174.29
2019-09-26,175.65
2019-09-25,175.11
2019-09-24,174.5
2019-09-23,175.8
2019-09-20,173.84
2019-09-19,175.96
2019-09-18,175.19
2019-09-17,176.43
2019-09-16,176.5
2019-09-13,177.27
2019-09-12,178.2
2019-09-11,176.2
2019-09-10,176.6
2019-09-09,181.5
2019-09-06,186.24
2019-09-05,184.73
2019-09-04,181.41
2019-09-03,179.6999
2019-08-30,180.98
2019-08-29,180.95
2019-08-28,178.1
2019-08-27,179.0
2019-08-26,177.49
2019-08-23,175.5
2019-08-22,179.81
2019-08-21,181.55
2019-08-20,179.11
2019-08-19,179.5
2019-08-16,178.05
2019-08-15,176.69
2019-08-14,173.97
2019-08-13,179.0
2019-08-12,176.25
2019-08-09,179.0
2019-08-08,179.1
2019-08-07,175.01
2019-08-06,172.01
2019-08-05,165.26
2019-08-02,177.43
2019-08-01,178.78
2019-07-31,177.62
2019-07-30,181.65
2019-07-29,183.47
2019-07-26,183.35
2019-07-25,181.89
2019-07-24,182.75
2019-07-23,179.8
2019-07-22,180.8
2019-07-19,179.16
2019-07-18,180.74
2019-07-17,178.78
2019-07-16,179.3
2019-07-15,180.4255
2019-07-12,180.4
2019-07-11,180.86
2019-07-10,179.3
2019-07-09,177.87
2019-07-08,176.01
2019-07-05,176.4
2019-07-03,176.87
2019-07-02,175.36
2019-07-01,173.94
2019-06-28,172.9
2019-06-27,171.91
2019-06-26,170.9999
2019-06-25,171.3
2019-06-24,174.19
2019-06-21,173.29
2019-06-20,173.73
2019-06-19,170.97
2019-06-18,169.41
2019-06-17,169.84
2019-06-14,169.6
2019-06-13,169.56
2019-06-12,171.5
2019-06-11,170.3001
2019-06-10,170.8
2019-06-07,170.15
2019-06-06,166.4
2019-06-05,164.88
2019-06-04,163.25
2019-06-03,159.01
2019-05-31,161.4
2019-05-30,161.94
2019-05-29,162.74
2019-05-28,163.72
2019-05-24,162.64
2019-05-23,161.4
2019-05-22,163.83
2019-05-21,163.86
2019-05-20,163.89
2019-05-17,164.09
2019-05-16,164.86
2019-05-15,162.6701
2019-05-14,160.6
2019-05-13,156.85
2019-05-10,160.73
2019-05-09,159.0
2019-05-08,160.76
2019-05-07,160.3
2019-05-06,161.65
2019-05-03,162.27
2019-05-02,161.15
