date,price
2021-02-18,49.56
2021-02-17,49.56
2021-02-16,49.4
2021-02-13,50.57
2021-02-12,50.57
2021-02-11,50.07
2021-02-10,51.56
2021-02-09,50.12
2021-02-08,49.89
2021-02-06,49.81
2021-02-05,49.81
2021-02-04,49.3
2021-02-03,49.05
2021-02-02,48.48
2021-02-01,49.17
2021-01-30,50.0
2021-01-29,50.14
2021-01-28,50.39
2021-01-27,50.5
2021-01-26,53.46
2021-01-25,47.8
2021-01-23,47.6
2021-01-22,47.6
2021-01-21,47.08
2021-01-20,48.13
2021-01-19,48.15
2021-01-16,48.81
2021-01-15,48.81
2021-01-14,49.55
2021-01-13,49.23
2021-01-12,48.1899
2021-01-11,47.9
2021-01-09,45.12
2021-01-08,45.42
2021-01-07,45.12
2021-01-06,43.37
2021-01-05,41.3
2021-01-04,41.55
2021-01-01,39.92
2020-12-31,39.91
2020-12-30,39.35
2020-12-29,39.41
2020-12-28,39.66
2020-12-24,39.51
2020-12-23,39.95
2020-12-22,39.3
2020-12-21,40.63
2020-12-19,40.89
2020-12-18,40.8899
2020-12-17,40.9
2020-12-16,40.4
2020-12-15,41.35
2020-12-14,41.48
2020-12-12,41.5
2020-12-11,41.6
2020-12-10,41.75
2020-12-09,41.82
2020-12-08,42.06
2020-12-07,42.3
2020-12-05,43.44
2020-12-04,43.47
2020-12-03,43.05
2020-12-02,40.0
2020-12-01,38.42
2020-11-30,38.09
2020-11-27,39.08
2020-11-26,39.18
2020-11-25,39.07
2020-11-24,38.57
2020-11-23,38.0
2020-11-21,37.52
2020-11-20,37.5
2020-11-19,37.55
2020-11-18,38.3
2020-11-17,40.15
2020-11-16,44.5
2020-11-14,42.69
2020-11-13,42.71
2020-11-12,40.6
2020-11-11,41.4501
2020-11-10,42.5
2020-11-09,39.79
2020-11-06,37.4
2020-11-05,37.25
2020-11-04,36.28
2020-11-03,37.39
2020-11-02,35.9
2020-10-30,34.1
2020-10-29,33.7
2020-10-28,34.68
2020-10-27,35.97
2020-10-26,37.25
2020-10-23,37.97
2020-10-22,37.56
2020-10-21,37.25
2020-10-20,37.52
2020-10-19,37.24
2020-10-16,37.43
2020-10-15,37.75
2020-10-14,35.99
2020-10-13,36.25
2020-10-12,36.95
2020-10-09,36.5
2020-10-08,37.17
2020-10-07,36.49
2020-10-06,35.85
2020-10-05,36.5
2020-10-02,35.6
2020-10-01,35.87
2020-09-30,35.9
2020-09-29,35.55
2020-09-28,36.07
2020-09-25,35.42
2020-09-24,35.04
2020-09-23,35.1
2020-09-22,35.68
2020-09-21,36.0
2020-09-18,37.03
2020-09-17,37.3
2020-09-16,36.29
2020-09-15,35.25
2020-09-14,35.19
2020-09-11,34.67
2020-09-10,34.83
2020-09-09,35.47
2020-09-08,36.03
2020-09-04,36.92
2020-09-03,36.89
2020-09-02,37.25
2020-09-01,36.85
2020-08-31,38.06
2020-08-28,38.89
2020-08-27,39.31
2020-08-26,38.66
2020-08-25,39.5
2020-08-24,39.77
2020-08-21,39.45
2020-08-20,39.85
2020-08-19,40.16
2020-08-18,40.92
2020-08-17,41.17
2020-08-14,41.88
2020-08-13,41.1
2020-08-12,41.6
2020-08-11,42.21
2020-08-10,42.61
2020-08-07,41.4
2020-08-06,40.8
2020-08-05,40.81
2020-08-04,40.83
2020-08-03,41.05
2020-07-31,40.6
2020-07-30,40.64
2020-07-29,40.93
2020-07-28,40.75
2020-07-27,39.84
2020-07-24,40.33
2020-07-23,40.49
2020-07-22,40.7
2020-07-21,40.65
2020-07-20,40.6
2020-07-17,41.4
2020-07-16,41.3
2020-07-15,40.36
2020-07-14,40.13
2020-07-13,39.66
2020-07-10,40.04
2020-07-09,38.85
2020-07-08,43.09
2020-07-07,42.74
2020-07-06,43.25
2020-07-02,42.22
2020-07-01,41.04
2020-06-30,42.25
2020-06-29,42.4
2020-06-26,41.23
2020-06-25,42.04
2020-06-24,41.25
2020-06-23,42.7999
2020-06-22,43.34
2020-06-19,43.75
2020-06-18,42.2
2020-06-17,42.0
2020-06-16,42.18
2020-06-15,42.0
2020-06-12,41.46
2020-06-11,41.28
2020-06-10,43.8401
2020-06-09,45.47
2020-06-08,47.0
2020-06-05,45.3
2020-06-04,44.2
2020-06-03,43.68
2020-06-02,43.76
2020-06-01,43.0
2020-05-29,43.04
2020-05-28,42.07
2020-05-27,43.0
2020-05-26,42.16
2020-05-22,39.59
2020-05-21,39.8499
2020-05-20,40.17
2020-05-19,39.99
2020-05-18,40.95
2020-05-15,38.39
2020-05-14,38.99
2020-05-13,38.5799
2020-05-12,40.33
2020-05-11,41.55
2020-05-08,41.68
2020-05-07,40.76
2020-05-06,41.1
2020-05-05,42.09
2020-05-04,43.43
2020-05-01,41.71
2020-04-30,43.15
2020-04-29,45.3
2020-04-28,44.65
2020-04-27,44.97
2020-04-24,43.7
2020-04-23,43.24
2020-04-22,43.31
2020-04-21,42.75
2020-04-20,43.1
2020-04-17,44.6
2020-04-16,44.5
2020-04-15,43.44
2020-04-14,46.47
2020-04-13,44.43
2020-04-09,44.03
2020-04-08,43.09
2020-04-07,42.77
2020-04-06,42.45
2020-04-03,40.27
2020-04-02,40.21
2020-04-01,43.5
2020-03-31,45.5
2020-03-30,45.01
2020-03-27,43.7999
2020-03-26,45.6
2020-03-25,41.75
2020-03-24,45.27
2020-03-23,44.35
2020-03-20,46.39
2020-03-19,47.85
2020-03-18,53.6
2020-03-17,47.6101
2020-03-16,45.09
2020-03-13,45.17
2020-03-12,40.5001
2020-03-11,46.25
2020-03-10,48.89
2020-03-09,48.46
2020-03-07,50.41
2020-03-06,50.43
2020-03-05,48.95
2020-03-04,48.49
2020-03-03,46.0
2020-03-02,47.99
2020-02-28,46.3
2020-02-27,46.2
2020-02-26,47.67
2020-02-25,47.85
2020-02-24,49.2
2020-02-22,51.33
2020-02-21,51.5
2020-02-20,51.87
2020-02-19,52.07
2020-02-18,51.95
2020-02-14,52.9
2020-02-13,53.53
2020-02-12,54.3
2020-02-11,53.01
2020-02-10,53.2
2020-02-08,53.21
2020-02-07,53.35
2020-02-06,53.55
2020-02-05,52.98
2020-02-04,52.35
2020-02-03,50.8
2020-01-31,50.99
2020-01-30,51.8
2020-01-29,52.28
2020-01-28,52.78
2020-01-27,52.4
2020-01-25,52.0
2020-01-24,52.0
2020-01-23,53.3
2020-01-22,53.27
2020-01-21,53.8
2020-01-18,54.39
2020-01-17,54.38
2020-01-16,54.41
2020-01-15,54.43
2020-01-14,54.5
2020-01-13,54.06
2020-01-10,54.24
2020-01-09,54.65
2020-01-08,55.9
2020-01-07,58.8
2020-01-06,59.59
2020-01-04,59.44
2020-01-03,59.32
2020-01-02,59.08
2019-12-31,59.03
2019-12-30,58.91
2019-12-27,58.9
2019-12-26,58.9
2019-12-24,58.35
