date,price
2021-02-18,36.95
2021-02-17,36.94
2021-02-16,34.8
2021-02-13,33.42
2021-02-12,33.55
2021-02-11,32.6301
2021-02-10,33.18
2021-02-09,33.28
2021-02-08,33.45
2021-02-06,32.59
2021-02-05,32.6
2021-02-04,32.6
2021-02-03,31.71
2021-02-02,30.78
2021-02-01,30.02
2021-01-30,29.9
2021-01-29,29.85
2021-01-28,30.69
2021-01-27,30.11
2021-01-26,31.3601
2021-01-25,32.26
2021-01-23,31.9
2021-01-22,31.92
2021-01-21,32.02
2021-01-20,32.46
2021-01-19,32.68
2021-01-16,31.93
2021-01-15,31.94
2021-01-14,34.87
2021-01-13,33.82
2021-01-12,34.11
2021-01-11,33.46
2021-01-09,33.27
2021-01-08,33.28
2021-01-07,33.56
2021-01-06,32.8
2021-01-05,30.6699
2021-01-04,29.69
2021-01-01,30.2
2020-12-31,30.18
2020-12-30,29.78
2020-12-29,29.77
2020-12-28,29.96
2020-12-24,29.86
2020-12-23,30.42
2020-12-22,28.9999
2020-12-21,29.5
2020-12-19,29.9999
2020-12-18,30.02
2020-12-17,29.45
2020-12-16,29.72
2020-12-15,29.68
2020-12-14,28.6
2020-12-12,29.02
2020-12-11,29.0599
2020-12-10,29.6
2020-12-09,29.05
2020-12-08,29.03
2020-12-07,29.39
2020-12-05,29.6
2020-12-04,29.55
2020-12-03,29.18
2020-12-02,28.84
2020-12-01,28.05
2020-11-30,27.49
2020-11-27,28.37
2020-11-25,28.64
2020-11-24,28.9
2020-11-23,26.52
2020-11-21,25.46
2020-11-20,25.49
2020-11-19,25.88
2020-11-18,25.1
2020-11-17,25.04
2020-11-16,24.85
2020-11-14,24.08
2020-11-13,24.09
2020-11-12,23.66
2020-11-11,24.2
2020-11-10,24.27
2020-11-09,24.07
2020-11-07,21.93
2020-11-06,21.94
2020-11-05,22.29
2020-11-04,21.92
2020-11-03,22.25
2020-11-02,21.94
2020-10-30,21.42
2020-10-29,21.0
2020-10-28,21.24
2020-10-27,21.7
2020-10-26,22.71
2020-10-23,23.25
2020-10-22,23.32
2020-10-21,22.64
2020-10-20,22.85
2020-10-19,22.58
2020-10-16,22.83
2020-10-15,22.98
2020-10-14,23.29
2020-10-13,24.75
2020-10-12,25.8
2020-10-09,25.36
2020-10-08,25.37
2020-10-07,24.83
2020-10-06,24.2
2020-10-05,24.43
2020-10-02,23.96
2020-10-01,23.47
2020-09-30,23.53
2020-09-29,23.29
2020-09-28,23.92
2020-09-25,23.63
2020-09-24,23.47
2020-09-23,22.77
2020-09-22,23.65
2020-09-21,24.07
2020-09-18,25.08
2020-09-17,25.14
2020-09-16,25.73
2020-09-15,24.82
2020-09-14,24.83
2020-09-11,24.27
2020-09-10,24.0
