date,price
2021-02-18,147.68
2021-02-17,147.8
2021-02-16,145.6
2021-02-13,144.75
2021-02-12,144.64
2021-02-11,144.0
2021-02-10,144.16
2021-02-09,145.87
2021-02-08,145.05
2021-02-06,144.37
2021-02-05,144.36
2021-02-04,142.99
2021-02-03,141.26
2021-02-02,141.09
2021-02-01,139.6
2021-01-30,140.65
2021-01-29,140.49
2021-01-28,143.85
2021-01-27,143.4
2021-01-26,147.01
2021-01-25,146.0
2021-01-23,146.25
2021-01-22,146.29
2021-01-21,145.01
2021-01-20,145.63
2021-01-19,143.45
2021-01-16,144.55
2021-01-15,144.55
2021-01-14,147.42
2021-01-13,147.7
2021-01-12,148.9
2021-01-11,149.12
2021-01-09,146.68
2021-01-08,146.68
2021-01-07,146.87
2021-01-06,147.09
2021-01-05,145.51
2021-01-04,146.74
2021-01-01,143.95
2020-12-31,143.95
2020-12-30,144.18
2020-12-29,144.38
2020-12-28,145.25
2020-12-24,143.5
2020-12-23,143.25
2020-12-22,144.04
2020-12-21,145.98
2020-12-19,146.09
2020-12-18,146.0
2020-12-17,146.4
2020-12-16,145.5
2020-12-15,145.6
2020-12-14,145.65
2020-12-12,147.22
2020-12-11,147.17
2020-12-10,147.71
2020-12-09,148.5
2020-12-08,149.69
2020-12-07,147.68
2020-12-05,148.85
2020-12-04,148.77
2020-12-03,149.31
2020-12-02,150.6
2020-12-01,152.32
2020-11-30,152.7
2020-11-27,151.83
2020-11-25,151.8
2020-11-24,151.36
2020-11-23,151.75
2020-11-21,150.25
2020-11-20,150.23
2020-11-19,151.18
2020-11-18,149.2
2020-11-17,150.4
2020-11-16,154.0
2020-11-14,151.4
2020-11-13,151.13
2020-11-12,148.35
2020-11-11,148.0
2020-11-10,146.0
2020-11-09,144.0
2020-11-07,146.75
2020-11-06,146.75
2020-11-05,143.2
2020-11-04,142.1
2020-11-03,143.82
2020-11-02,140.45
2020-10-30,138.78
2020-10-29,139.01
2020-10-28,140.95
2020-10-27,142.3
2020-10-26,142.31
2020-10-23,143.77
2020-10-22,143.6001
2020-10-21,144.05
2020-10-20,144.03
2020-10-19,143.57
2020-10-16,144.56
2020-10-15,144.91
2020-10-14,144.14
2020-10-13,146.55
2020-10-12,144.52
2020-10-09,142.82
2020-10-08,141.72
2020-10-07,141.1
2020-10-06,140.45
2020-10-05,141.56
2020-10-02,139.92
2020-10-01,142.86
2020-09-30,140.0
2020-09-29,137.33
2020-09-28,137.42
2020-09-25,136.75
2020-09-24,137.0101
2020-09-23,135.5
2020-09-22,137.75
2020-09-21,137.71
2020-09-18,135.55
2020-09-17,137.55
2020-09-16,136.98
2020-09-15,137.67
2020-09-14,137.15
2020-09-11,136.75
2020-09-10,137.35
2020-09-09,140.7799
2020-09-08,138.2
2020-09-04,142.98
2020-09-03,141.35
2020-09-02,147.56
2020-09-01,148.55
2020-08-31,139.2
2020-08-28,140.15
2020-08-27,138.45
2020-08-26,130.52
2020-08-25,130.57
2020-08-24,131.29
2020-08-21,131.5
2020-08-20,130.6
2020-08-19,132.0
2020-08-18,134.28
2020-08-17,137.15
2020-08-14,133.11
2020-08-13,132.1
2020-08-12,131.88
2020-08-11,130.47
2020-08-10,131.9
2020-08-07,130.0099
2020-08-06,129.15
2020-08-05,129.85
2020-08-04,130.2
2020-08-03,129.18
2020-07-31,129.3999
2020-07-30,130.3
2020-07-29,130.87
2020-07-28,131.9999
2020-07-27,131.21
2020-07-24,130.99
2020-07-23,131.48
2020-07-22,132.5
2020-07-21,132.62
2020-07-20,131.5
2020-07-17,131.8
2020-07-16,132.7
2020-07-15,132.38
2020-07-14,132.3
2020-07-13,129.65
2020-07-10,130.79
2020-07-09,128.62
2020-07-08,125.5
2020-07-07,127.85
2020-07-06,118.73
2020-07-02,119.42
2020-07-01,119.68
2020-06-30,119.78
2020-06-29,119.22
2020-06-26,118.45
2020-06-25,119.71
2020-06-24,120.0
2020-06-23,120.7
2020-06-22,122.45
2020-06-19,119.45
2020-06-18,118.1
2020-06-17,118.9001
2020-06-16,119.7
2020-06-15,118.6
2020-06-12,117.9999
2020-06-11,120.5
2020-06-10,120.91
2020-06-09,121.3
2020-06-08,121.0
2020-06-05,121.5
2020-06-04,122.26
2020-06-03,123.48
2020-06-02,123.9
2020-06-01,123.21
2020-05-29,124.0001
2020-05-28,123.15
2020-05-27,122.6
2020-05-26,123.89
2020-05-22,124.38
2020-05-21,125.25
2020-05-20,125.45
2020-05-19,125.35
2020-05-18,129.37
2020-05-15,125.92
2020-05-14,123.8
2020-05-13,124.2
2020-05-12,123.69
2020-05-11,123.7
2020-05-08,122.94
2020-05-07,122.0
2020-05-06,123.13
2020-05-05,125.06
2020-05-04,123.8
2020-05-01,123.2
2020-04-30,121.1
2020-04-29,124.11
2020-04-28,128.36
2020-04-27,128.48
2020-04-24,129.22
2020-04-23,128.29
2020-04-22,131.5
2020-04-21,129.5
2020-04-20,130.4
2020-04-17,131.98
2020-04-16,131.5
2020-04-15,128.2
2020-04-14,128.45
2020-04-13,125.5
2020-04-09,122.08
2020-04-08,121.71
2020-04-07,123.1
2020-04-06,125.4
2020-04-03,119.1
2020-04-02,118.46
2020-04-01,115.13
2020-03-31,113.0
2020-03-30,115.03
2020-03-27,109.05
2020-03-26,109.99
2020-03-25,109.91
2020-03-24,114.2
2020-03-23,116.25
2020-03-20,113.95
2020-03-19,118.7
2020-03-18,124.7
2020-03-17,116.8701
2020-03-16,110.0
2020-03-13,113.52
2020-03-12,103.0
2020-03-11,114.39
2020-03-10,118.8
2020-03-09,118.2
2020-03-07,116.2601
2020-03-06,116.65
2020-03-05,115.6
2020-03-04,116.0
2020-03-03,112.35
2020-03-02,115.5
2020-02-29,108.5
2020-02-28,108.69
2020-02-27,109.8
2020-02-26,113.78
2020-02-25,115.0
2020-02-24,116.31
2020-02-22,118.31
2020-02-21,118.31
2020-02-20,117.67
2020-02-19,117.8
2020-02-18,119.7
2020-02-15,119.01
2020-02-14,118.44
2020-02-13,117.52
2020-02-12,115.85
2020-02-11,115.37
2020-02-10,115.39
2020-02-08,116.45
2020-02-07,116.22
2020-02-06,116.31
2020-02-05,116.95
2020-02-04,115.3
2020-02-03,114.27
2020-02-01,114.55
2020-01-31,114.49
2020-01-30,117.05
2020-01-29,115.85
2020-01-28,116.6002
2020-01-27,115.86
2020-01-24,114.31
2020-01-23,115.81
2020-01-22,115.77
2020-01-21,115.5
2020-01-17,115.03
2020-01-16,115.9
2020-01-15,115.3
2020-01-14,116.3
2020-01-13,115.88
2020-01-11,116.3
2020-01-10,116.39
2020-01-09,117.2901
2020-01-08,116.25
2020-01-07,115.85
2020-01-06,117.5
2020-01-04,118.0
2020-01-03,117.89
2020-01-02,119.0
2020-01-01,118.86
2019-12-31,118.86
2019-12-30,119.49
2019-12-28,119.46
2019-12-27,119.46
2019-12-26,119.54
2019-12-24,119.59
2019-12-23,119.05
2019-12-21,120.32
2019-12-20,120.23
2019-12-19,120.15
2019-12-18,120.0
2019-12-17,121.28
2019-12-16,120.6
2019-12-13,120.35
2019-12-12,119.99
2019-12-11,119.0
2019-12-10,119.15
2019-12-09,119.13
2019-12-07,119.71
2019-12-06,119.7
2019-12-05,118.66
2019-12-04,118.78
2019-12-03,118.65
2019-12-02,119.2
2019-11-29,119.09
2019-11-28,118.57
2019-11-27,118.73
2019-11-26,119.19
2019-11-25,118.94
2019-11-22,119.36
2019-11-21,119.8
2019-11-20,119.0
2019-11-19,119.81
2019-11-18,120.12
2019-11-16,118.74
2019-11-15,118.83
2019-11-14,120.59
2019-11-13,121.85
2019-11-12,119.25
2019-11-11,119.1
2019-11-08,119.5
2019-11-07,120.26
2019-11-06,119.6
2019-11-05,118.61
2019-11-04,117.8
2019-11-01,117.68
2019-10-31,117.26
2019-10-30,118.1
2019-10-29,117.2
2019-10-28,119.15
2019-10-25,119.18
2019-10-24,119.0
2019-10-23,119.67
2019-10-22,119.5
2019-10-21,119.66
2019-10-18,119.24
2019-10-17,119.83
2019-10-16,119.42
2019-10-15,119.5
2019-10-14,119.33
2019-10-11,120.47
