date,price
2021-02-18,53.0
2021-02-17,52.98
2021-02-16,52.09
2021-02-13,50.62
2021-02-12,50.55
2021-02-11,49.62
2021-02-10,50.97
2021-02-09,50.66
2021-02-08,52.25
2021-02-06,50.1
2021-02-05,50.04
2021-02-04,48.53
2021-02-03,47.42
2021-02-02,45.8
2021-02-01,45.08
2021-01-30,44.7899
2021-01-29,44.78
2021-01-28,45.97
2021-01-27,45.3
2021-01-26,45.87
2021-01-25,46.85
2021-01-23,47.7
2021-01-22,47.46
2021-01-21,48.0699
2021-01-20,49.5
2021-01-19,48.95
2021-01-16,47.85
2021-01-15,47.88
2021-01-14,50.55
2021-01-13,48.48
2021-01-12,47.9
2021-01-11,46.84
2021-01-09,45.48
2021-01-08,45.45
2021-01-07,44.98
2021-01-06,44.76
2021-01-05,43.63
2021-01-04,41.5
2021-01-01,41.22
2020-12-31,41.23
2020-12-30,41.61
2020-12-29,41.35
2020-12-28,41.7501
2020-12-24,41.55
2020-12-23,41.79
2020-12-22,41.29
2020-12-21,41.89
2020-12-19,42.85
2020-12-18,42.84
2020-12-17,43.51
2020-12-16,43.88
2020-12-15,43.2
2020-12-14,42.2699
2020-12-12,43.88
2020-12-11,43.85
2020-12-10,44.38
2020-12-09,42.8
2020-12-08,42.21
2020-12-07,40.91
2020-12-05,41.59
2020-12-04,41.63
2020-12-03,40.21
2020-12-02,40.01
2020-12-01,38.36
2020-11-30,38.35
2020-11-27,40.2499
2020-11-25,40.85
2020-11-24,42.2
2020-11-23,39.52
2020-11-21,37.07
2020-11-20,37.01
2020-11-19,37.03
2020-11-18,37.29
2020-11-17,38.61
2020-11-16,38.18
2020-11-14,36.1
2020-11-13,36.16
2020-11-12,35.16
2020-11-11,36.35
2020-11-10,36.98
2020-11-09,36.85
2020-11-07,32.88
2020-11-06,32.9
2020-11-05,33.15
2020-11-04,33.38
2020-11-03,33.65
2020-11-02,33.94
2020-10-30,32.6
2020-10-29,32.75
2020-10-28,32.0
2020-10-27,32.73
2020-10-26,33.3
2020-10-23,34.1899
2020-10-22,34.92
2020-10-21,33.17
2020-10-20,33.69
2020-10-19,33.6
2020-10-16,34.11
2020-10-15,34.41
2020-10-14,34.28
2020-10-13,34.35
2020-10-12,34.63
2020-10-09,34.75
2020-10-08,35.59
2020-10-07,33.63
2020-10-06,33.39
2020-10-05,33.64
2020-10-02,32.81
2020-10-01,33.13
2020-09-30,34.32
2020-09-29,34.31
2020-09-28,35.17
2020-09-25,34.64
2020-09-24,34.55
2020-09-23,34.5
2020-09-22,35.64
2020-09-21,36.55
2020-09-18,37.12
2020-09-17,37.85
2020-09-16,37.98
2020-09-15,36.28
2020-09-14,36.76
2020-09-11,36.86
2020-09-10,37.1
2020-09-09,38.07
2020-09-08,37.82
2020-09-04,39.1
2020-09-03,38.9
2020-09-02,39.25
2020-09-01,39.43
2020-08-31,39.95
2020-08-28,40.7
2020-08-27,39.84
2020-08-26,40.05
2020-08-25,41.0
2020-08-24,41.25
2020-08-21,41.13
2020-08-20,41.45
