date,price
2021-02-17,23.61
2021-02-16,23.94
2021-02-13,23.71
2021-02-12,23.71
2021-02-11,23.5
2021-02-10,23.52
2021-02-09,23.94
2021-02-08,24.3358
2021-02-05,23.6688
2021-02-04,23.05
2021-02-03,23.57
2021-02-02,22.85
2021-02-01,22.92
2021-01-29,21.0
2021-01-28,21.22
2021-01-27,20.88
2021-01-26,21.1
2021-01-25,20.75
2021-01-22,21.15
2021-01-21,21.35
2021-01-20,21.05
2021-01-19,21.35
2021-01-15,22.49
2021-01-14,23.0
2021-01-13,22.94
2021-01-12,23.0
2021-01-11,23.44
2021-01-08,23.55
2021-01-07,23.73
2021-01-06,23.2
2021-01-05,22.85
2021-01-04,22.46
2020-12-31,23.18
2020-12-30,22.66
2020-12-29,22.88
2020-12-28,23.28
2020-12-24,22.58
2020-12-23,22.76
2020-12-22,22.25
2020-12-21,22.4
2020-12-18,22.86
2020-12-17,22.83
2020-12-16,23.03
2020-12-15,23.89
2020-12-14,22.83
2020-12-11,22.76
2020-12-10,23.37
2020-12-09,22.86
2020-12-08,22.86
2020-12-07,22.9801
2020-12-05,23.3
2020-12-04,23.35
2020-12-03,22.72
2020-12-02,22.66
2020-12-01,22.16
2020-11-30,21.9
2020-11-27,23.22
2020-11-25,23.35
2020-11-24,23.55
2020-11-23,22.87
2020-11-20,21.84
2020-11-19,21.75
2020-11-18,21.9
2020-11-17,22.05
2020-11-16,22.81
2020-11-13,21.64
2020-11-12,20.7085
2020-11-11,21.22
2020-11-10,21.65
2020-11-09,21.29
2020-11-06,19.21
2020-11-05,19.7
2020-11-04,18.25
2020-11-03,18.75
2020-11-02,18.15
2020-10-30,17.38
2020-10-29,17.76
2020-10-28,17.45
2020-10-27,18.46
2020-10-26,18.89
2020-10-23,19.79
2020-10-22,19.85
2020-10-21,19.56
2020-10-20,19.55
2020-10-19,19.7202
2020-10-16,20.0
2020-10-15,20.04
2020-10-14,20.19
2020-10-13,20.19
2020-10-12,20.15
2020-10-09,20.09
2020-10-08,20.16
2020-10-07,20.2387
2020-10-06,19.71
2020-10-05,19.64
2020-10-02,19.05
2020-10-01,18.7
2020-09-30,18.7
2020-09-29,18.46
2020-09-28,18.65
2020-09-25,17.96
2020-09-24,17.79
2020-09-23,17.82
2020-09-22,18.24
2020-09-21,18.3
2020-09-18,19.24
2020-09-17,19.47
2020-09-16,19.2
2020-09-15,18.9
2020-09-14,19.23
2020-09-11,19.13
2020-09-10,18.51
2020-09-09,19.07
2020-09-08,18.65
2020-09-04,18.65
2020-09-03,18.18
2020-09-02,18.72
2020-09-01,18.55
2020-08-31,18.9
2020-08-28,19.55
2020-08-27,19.0
2020-08-26,18.95
2020-08-25,18.91
2020-08-24,19.5399
2020-08-21,18.78
2020-08-20,18.8
2020-08-19,18.4
2020-08-18,18.18
2020-08-17,18.12
